scene,model,model_key,capability_label,direction,drop_0p0_pp,drop_1p1_pp,drop_2p2_pp,drop_4p4_pp,increment_0_to_1p1_pp,increment_1p1_to_2p2_pp,increment_2p2_to_4p4_pp,nondecreasing_steps,fully_nondecreasing,spearman_rho,spearman_p
LongKou,Linear,linear,standard-capability,minus,0.0,0.11528627847283701,1.7772412878985455,9.869615912634078,0.11528627847283701,1.6619550094257085,8.092374624735532,3,True,1.0,0.0
LongKou,Linear,linear,standard-capability,plus,0.0,0.943491049493661,2.7901936915075143,10.024534507446814,0.943491049493661,1.8467026420138533,7.2343408159393,3,True,1.0,0.0
LongKou,MLP,mlp,standard-capability,minus,0.0,0.7719031336665294,9.421632951718784,33.26412421391637,0.7719031336665294,8.649729818052254,23.842491262197584,3,True,1.0,0.0
LongKou,MLP,mlp,standard-capability,plus,0.0,6.1094517200172005,15.883213689045583,42.309390451311636,6.1094517200172005,9.773761969028381,26.426176762266053,3,True,1.0,0.0
LongKou,CNN-1D,cnn1d,standard-capability,minus,0.0,2.8285594444786177,9.784953433460586,21.02802688321317,2.8285594444786177,6.956393988981969,11.243073449752583,3,True,1.0,0.0
LongKou,CNN-1D,cnn1d,standard-capability,plus,0.0,5.173928089934199,15.580789633486003,43.97739171348307,5.173928089934199,10.406861543551804,28.39660207999707,3,True,1.0,0.0
LongKou,SSCNN-3x3,sscnn3x3,standard-capability,minus,0.0,-0.48188645745006475,3.3471456704592506,24.80863569011008,-0.48188645745006475,3.8290321279093154,21.461490019650828,2,False,0.7999999999999999,0.20000000000000007
LongKou,SSCNN-3x3,sscnn3x3,standard-capability,plus,0.0,2.0443405772640144,4.753584651708409,12.046401350744251,2.0443405772640144,2.7092440744443946,7.292816699035842,3,True,1.0,0.0
LongKou,SSResNet-3x3,ssresnet3x3,standard-capability,minus,0.0,1.3475869198959267,13.814465373580964,37.86299957321382,1.3475869198959267,12.466878453685037,24.048534199632854,3,True,1.0,0.0
LongKou,SSResNet-3x3,ssresnet3x3,standard-capability,plus,0.0,3.265742972269492,9.577766444966429,26.28937415071154,3.265742972269492,6.312023472696937,16.711607705745113,3,True,1.0,0.0
LongKou,SpectralFormer-3x3,spectralformer3x3,standard-capability,minus,0.0,-1.3632470469665536,0.9316481808021693,13.55399832677745,-1.3632470469665536,2.294895227768723,12.62235014597528,2,False,0.7999999999999999,0.20000000000000007
LongKou,SpectralFormer-3x3,spectralformer3x3,standard-capability,plus,0.0,3.2832812278716483,6.892184422322845,15.383526514535827,3.2832812278716483,3.6089031944511962,8.491342092212982,3,True,1.0,0.0
