seed,condition,family,level_nm,oa,macro_f1,balanced_accuracy,worst_class_recall,nll,brier,ece_15bin,mean_confidence,high_confidence_error_rate_all,high_confidence_error_count,label_flip_rate,nominal_correct_to_shifted_wrong_rate_all,shifted_wrong_to_correct_rate_all
13,nominal,nominal,0.0,0.8432379643360943,0.7379715390376791,0.7719207422676984,0.3437110834371108,0.6587036089456387,0.2495345963733185,0.08153361156725662,0.9247715759033509,0.06124353456071183,8466,0.0,0.0,0.0
37,nominal,nominal,0.0,0.8205664267370781,0.7149853427495286,0.7484223269362528,0.45994188459941887,0.6576815658239082,0.27667779026910977,0.07465692730285325,0.8952233540399315,0.051774152710963216,7157,0.0,0.0,0.0
73,nominal,nominal,0.0,0.8466452056280971,0.7487505333340196,0.7829327386699879,0.4794520547945205,0.6285394668668277,0.2432871390282956,0.0804418983908162,0.9270871040189133,0.05855246500524469,8094,0.0,0.0,0.0
101,nominal,nominal,0.0,0.8103591709769595,0.7009049465700421,0.7442370676028456,0.41303445413034456,0.6411007638340831,0.285629303878492,0.03466355411054412,0.8450227250875036,0.0337396462545665,4664,0.0,0.0,0.0
131,nominal,nominal,0.0,0.8447498824465584,0.7406423852758526,0.7660393793810774,0.42673308426733086,0.6506789610010354,0.24684273777485022,0.08497156653422949,0.9297098328084175,0.061315875140159876,8476,0.0,0.0,0.0
13,global_center_minus_1p1_nm,global_center,-1.1,0.8402575324628351,0.7270414257748808,0.7582144777649082,0.2146118721461187,0.6783225429877296,0.2544646227145883,0.08523181592902429,0.9254893483918593,0.0627699207870655,8677,0.040763916518971315,0.016811950663724817,0.013831518790465512
37,global_center_minus_1p1_nm,global_center,-1.1,0.8208413209389808,0.7104939662890621,0.7380522252187812,0.2831050228310502,0.6599242771689835,0.27605238620888034,0.07575620296989102,0.8965788891611942,0.05182479111657684,7164,0.03800774044200094,0.014200455745650523,0.01447534994755308
73,global_center_minus_1p1_nm,global_center,-1.1,0.8425290266575035,0.7399199073193758,0.7720844166390529,0.33831465338314654,0.6478654327272085,0.24903367598294993,0.08371724914246692,0.9262462757999704,0.05950736065395884,8226,0.042492856367779504,0.01758599486381886,0.013469815893225304
101,global_center_minus_1p1_nm,global_center,-1.1,0.7995297862335877,0.6797236964142371,0.7215221775836345,0.24117891241178913,0.6785205175212756,0.30097434528581546,0.0474252031562591,0.8469549893898468,0.037486888269975045,5182,0.043520092595941695,0.02075451224364307,0.009925127500271276
131,global_center_minus_1p1_nm,global_center,-1.1,0.8433898795529352,0.735415542218983,0.7564382002877692,0.3221253632212536,0.6607525251491343,0.24826887632837408,0.08598688630621043,0.9293767658591456,0.060447788186783376,8356,0.0398668933338156,0.01563279921872174,0.014272796325098563
13,global_center_plus_1p1_nm,global_center,1.1,0.8347741165406735,0.7241474699589178,0.7546665394269466,0.36820257368202575,0.697029712293326,0.2641061953166478,0.08745056373881499,0.9222040164480159,0.06542482005280863,9044,0.040279234636669436,0.01998046804354903,0.011516620248128188
37,global_center_plus_1p1_nm,global_center,1.1,0.8099829999638297,0.7039808041680422,0.7408778358992159,0.42857142857142855,0.6987822400020236,0.29307671019619075,0.08136641374773784,0.8913494137115675,0.05638224762180345,7794,0.03860093319347488,0.01926429630701342,0.008680869533764965
73,global_center_plus_1p1_nm,global_center,1.1,0.8372553984157413,0.7369433589129875,0.7700869756334299,0.5205479452054794,0.6651332406829148,0.25880487884659137,0.08785902825355464,0.9251144266692959,0.06372481643577965,8809,0.0396860418851955,0.019814084710818535,0.010424277498462763
101,global_center_plus_1p1_nm,global_center,1.1,0.8072846963504178,0.7005676108213398,0.7438492142737019,0.5051888750518887,0.6449982966008817,0.28940462782672716,0.03435665988213249,0.8416364174413135,0.03336347524143669,4612,0.03910731724961117,0.016334502839367743,0.013260028212825984
131,global_center_plus_1p1_nm,global_center,1.1,0.8343400730639853,0.725500061736521,0.7534727097541207,0.43212951432129515,0.7064989934271916,0.26474880466563194,0.0935301147423701,0.9278701878063553,0.06773971859514595,9364,0.03762433537092632,0.019553658624805584,0.009143849242232431
13,global_center_minus_2p2_nm,global_center,-2.2,0.8268672912070025,0.6991937042417291,0.7289942329186166,0.0896637608966376,0.7507924699342378,0.27663761104364054,0.09768246736710427,0.9245316939844069,0.07024993670199298,9711,0.08068144825840055,0.03956306290013383,0.023192389771042068
37,global_center_minus_2p2_nm,global_center,-2.2,0.8106123630050277,0.6882721214619307,0.711884903555903,0.1336654213366542,0.7067720039705402,0.2913090933620445,0.08499715081450264,0.8956095138195302,0.05515245777118675,7624,0.0748218613231092,0.03341411364705031,0.02346004991499982
73,global_center_minus_2p2_nm,global_center,-2.2,0.8287264440988172,0.7175992494540252,0.7470032329429497,0.20589456205894563,0.7218232188390523,0.272439168132135,0.09472008600012324,0.9234465300989404,0.06656780120808768,9202,0.08152059897999783,0.039172423771114406,0.021253662241834555
101,global_center_minus_2p2_nm,global_center,-2.2,0.7787969761637791,0.6418585579829703,0.6849544172660866,0.1266085512660855,0.7587099683798029,0.3340812807825649,0.0684927644387082,0.8472897406024873,0.046666907801931494,6451,0.09429594531052193,0.04916265779288892,0.017600462979708468
