seed,condition,family,level_nm,oa,macro_f1,balanced_accuracy,worst_class_recall,nll,brier,ece_15bin,mean_confidence,high_confidence_error_rate_all,high_confidence_error_count,label_flip_rate,nominal_correct_to_shifted_wrong_rate_all,shifted_wrong_to_correct_rate_all
13,nominal,nominal,0.0,0.8426375375266756,0.7473948702151866,0.785390311435302,0.5566625155666252,0.5521421554935476,0.23585549601508135,0.04368910108748087,0.8863266386141565,0.032734112200238724,4525,0.0,0.0,0.0
37,nominal,nominal,0.0,0.864969074402286,0.7632627481397803,0.787939762240639,0.4474885844748858,0.5058164962941578,0.2043298599965979,0.0436480392648734,0.9086171136671592,0.0304192136579014,4205,0.0,0.0,0.0
73,nominal,nominal,0.0,0.8617282164430137,0.7676142159233155,0.7876839698708342,0.4213366542133665,0.5149207203806807,0.20699811544103633,0.03856875652878323,0.9002928433314531,0.02671537599016168,3693,0.0,0.0,0.0
101,nominal,nominal,0.0,0.8546677758888849,0.7648842043062437,0.7922027946256404,0.4885844748858447,0.6363557696726874,0.22933500206828633,0.07207614664777545,0.9267291440350861,0.05369117806633631,7422,0.0,0.0,0.0
131,nominal,nominal,0.0,0.8448439251998409,0.7484910560254672,0.7777796223495422,0.523038605230386,0.5548591917203299,0.23301013168894621,0.04442641133435849,0.8892703365341994,0.031894961478641445,4409,0.0,0.0,0.0
13,global_center_minus_1p1_nm,global_center,-1.1,0.8368285889969979,0.7332034526476794,0.7661200969182451,0.31423827314238273,0.5726979863084928,0.24338221950789451,0.04824743824190192,0.8850760272388998,0.03334177306760227,4609,0.04834520924512605,0.021622599197019567,0.015813650667341847
37,global_center_minus_1p1_nm,global_center,-1.1,0.8535464969074402,0.7358960338198788,0.7577423703066631,0.18223329182233292,0.5467898189288501,0.2190272832646483,0.05231449828788801,0.9058609951953283,0.03168517379824212,4380,0.04522009621297066,0.02300430426447716,0.011581726769631425
73,global_center_minus_1p1_nm,global_center,-1.1,0.8517958548847976,0.7460191478939701,0.7650167110515279,0.199252801992528,0.5524119712686145,0.22044662574967647,0.04666399226618287,0.8984598471509805,0.02917495569139509,4033,0.03858646507758527,0.019430679639743913,0.009498318081527833
101,global_center_minus_1p1_nm,global_center,-1.1,0.8468260570767172,0.7430535103652496,0.7668817586586769,0.2129514321295143,0.6902095713598116,0.2417813203301444,0.07866570676927921,0.9254917638459964,0.055984374434839224,7739,0.047513292581473576,0.022215791948493508,0.014374073136325822
131,global_center_minus_1p1_nm,global_center,-1.1,0.838557528845806,0.7308891801394048,0.7548801905063417,0.244914902449149,0.5765408152034758,0.24037663603971318,0.05035934341890793,0.8889168722647139,0.03227113249177126,4461,0.048605635331139,0.02173111006619163,0.015444713712156834
13,global_center_plus_1p1_nm,global_center,1.1,0.8259919701956813,0.7207937979243805,0.759977802261979,0.44206008583690987,0.6362215002327632,0.2640048352931913,0.05772268153420104,0.8837085604585738,0.04233370709299381,5852,0.052967772271855895,0.029891127427930698,0.013245560096936377
37,global_center_plus_1p1_nm,global_center,1.1,0.8496111693854668,0.7439726479017756,0.7714089299383843,0.5191089311260985,0.5759321225894956,0.22954430465100387,0.058217502078078805,0.9078286714635456,0.04022136217311101,5560,0.050464788222953666,0.027142185408905124,0.011784280392085941
73,global_center_plus_1p1_nm,global_center,1.1,0.8504358519911744,0.7532073296983011,0.7769398729155255,0.5497649703658287,0.5580213728300012,0.2247155029841904,0.047878451743630264,0.8982941518819418,0.03243028176655695,4483,0.043491156364162474,0.022751112236409014,0.011458747784569755
101,global_center_plus_1p1_nm,global_center,1.1,0.8325677288675082,0.7360970103653677,0.7664881843586364,0.504802779480891,0.7495874342221657,0.26797524189753186,0.09067768299411888,0.9232454118616271,0.0676673780156979,9354,0.05668607805548522,0.03397113610880023,0.01187108908742359
131,global_center_plus_1p1_nm,global_center,1.1,0.8317792165515245,0.7311302071881063,0.7641580177504249,0.512773349683221,0.6080604467204689,0.25611063357334174,0.057354581204379806,0.8891166314159841,0.040568596954461605,5608,0.046131587514015984,0.024277498462762687,0.011212789814446414
13,global_center_minus_2p2_nm,global_center,-2.2,0.8149889680616341,0.6937271986035354,0.7260380724425363,0.1398920713989207,0.6869037953805365,0.2776135082315141,0.06541019671012097,0.8803813839072357,0.04116178970593554,5690,0.09378956125438564,0.05018989402105111,0.022541324556009695
37,global_center_minus_2p2_nm,global_center,-2.2,0.8298477230802619,0.6927772340258154,0.7150239106750345,0.057700290577002905,0.670094990562341,0.25608442506105766,0.07230346200435714,0.902151185084619,0.04116902376388035,5691,0.088125293883604,0.051260534596882124,0.01613918327485803
73,global_center_minus_2p2_nm,global_center,-2.2,0.8335226245162224,0.7150112929512304,0.7341886112825369,0.10004151100041511,0.646745412596579,0.2501683600801124,0.06156255335599879,0.8950851778722212,0.03687922740261149,5098,0.07697761059066083,0.04400477447824357,0.015799182551452236
101,global_center_minus_2p2_nm,global_center,-2.2,0.822859623105581,0.7004972403885734,0.7265837121593184,0.0693233706932337,0.8813047065264009,0.28275018400817364,0.10036546528893456,0.9232250883945157,0.06970738235613268,9636,0.09470105255543097,0.05300394256157992,0.021195789778276124
131,global_center_minus_2p2_nm,global_center,-2.2,0.8194379136976887,0.6954393767768703,0.7183429576359206,0.11457036114570361,0.6750405329737698,0.2711509403668227,0.06998023164959186,0.8894181453472806,0.04222519622382175,5837,0.09429594531052193,0.04906861503960647,0.023662603537454335
13,global_center_plus_2p2_nm,global_center,2.2,0.7898144464137158,0.64696323733995,0.6875261869751459,0.182909604519774,0.8457504981619997,0.32450690559798606,0.09231762694170723,0.882132073355423,0.06378992295728289,8818,0.11109342785835714,0.07285419756212247,0.02003110644916266
37,global_center_plus_2p2_nm,global_center,2.2,0.815032372409303,0.6893397611575085,0.7119028914259926,0.36971183323114654,0.7844478422844734,0.29049697954824716,0.09078369447293451,0.9056181268446976,0.0636524758563316,8799,0.10770788874018881,0.06750099468296741,0.017564292689984447
73,global_center_plus_2p2_nm,global_center,2.2,0.824711541939451,0.7165505791601,0.7377160813082166,0.36991620682607806,0.706033179767613,0.2675568597491409,0.07053031525247701,0.8952157804297596,0.04656563099070424,6437,0.09123593879986978,0.05468947806271928,0.01767280355915651
101,global_center_plus_2p2_nm,global_center,2.2,0.7859152891814664,0.6602162760726795,0.685549511249848,0.3047316384180791,1.0995297147842906,0.35121118865618717,0.13168998813969354,0.9176052773211599,0.09905595543820306,13693,0.12922197706803631,0.08804571924621116,0.019293232538792636
131,global_center_plus_2p2_nm,global_center,2.2,0.8134770499511701,0.707558642446162,0.7361441315747025,0.3852442264459432,0.7304909833877731,0.2899943760936066,0.07486134748743534,0.8883323573774466,0.05547075632075813,7668,0.08667848229464319,0.04917712590877853,0.017810250660107788
13,global_center_minus_4p4_nm,global_center,-4.4,0.7617607697037653,0.590956643624232,0.6428366505566674,0.0547945205479452,1.1545669444795823,0.367726532984786,0.119370735714387,0.8811315054181523,0.06285672948240316,8689,0.17806633631135385,0.11205555756501609,0.031178789742105834
37,global_center_minus_4p4_nm,global_center,-4.4,0.7745505841501791,0.5880589484168962,0.62921300258305,0.0136986301369863,1.129867371872308,0.35110992582845374,0.1271021157139856,0.9016526998641646,0.07066951206279162,9769,0.16776503779795277,0.11261981408471082,0.022201323832603898
73,global_center_minus_4p4_nm,global_center,-4.4,0.7881940174340797,0.6339502668306,0.6668094966088729,0.0356994603569946,0.9503080187277195,0.3255941315993652,0.10492692177634683,0.8931209392104265,0.05896480630809853,8151,0.150027127717293,0.09780446341375194,0.024270264404817884
101,global_center_minus_4p4_nm,global_center,-4.4,0.7696892972112707,0.5988807204145112,0.6442012958534011,0.006641760066417601,1.5960249672408482,0.3820546088723705,0.15577924316611197,0.9254685403773827,0.10879299743190943,15039,0.1806271928238145,0.11653343943284986,0.03155496075523565
131,global_center_minus_4p4_nm,global_center,-4.4,0.7679097189568489,0.6021352454402389,0.6351746195059953,0.06973848069738481,1.0710794550557794,0.3618311318260254,0.12583527219991003,0.8937449911567589,0.07746229247296271,10708,0.1739284551669259,0.10596448077549102,0.029030274532499005
13,global_center_plus_4p4_nm,global_center,4.4,0.7392411473215901,0.5740031276755964,0.6166903879337715,0.0,1.4876330537848312,0.41716194993569794,0.1416981378382971,0.880925384557527,0.10077042717112164,13930,0.18611060874597604,0.12910623214091946,0.025709841935833908
37,global_center_plus_4p4_nm,global_center,4.4,0.7411726407928527,0.5758552103105035,0.603167460317771,0.0,1.692015436790027,0.43876168617365074,0.17208626631960092,0.9131724587506609,0.13743986689333382,18999,0.20554852244366478,0.14531775599522553,0.02152132238579231
73,global_center_plus_4p4_nm,global_center,4.4,0.7536658588635295,0.6023357254288573,0.6235014307048439,0.0,1.3949797436267184,0.402846947371621,0.14581992814757488,0.8994741082757396,0.10791767642058812,14918,0.18528592614026837,0.12804282562303324,0.01998046804354903
101,global_center_plus_4p4_nm,global_center,4.4,0.7085759756935653,0.5386980463862363,0.5791499388826913,0.0,2.461957182874611,0.505259575835115,0.21351147952644878,0.9220630025435267,0.17233696241906898,23823,0.228994104242775,0.16874163562050132,0.022649835425181754
131,global_center_plus_4p4_nm,global_center,4.4,0.7547220313234709,0.5995850609735939,0.6286149206185955,0.001059322033898305,1.20335868655063,0.39533286805980633,0.13137516689452738,0.8860971982179984,0.09695084457626506,13402,0.17434079646977974,0.11458024378775274,0.02445834991138279
13,local_mid25_center_minus_2p2_nm,local_center,-2.2,0.8275038883061453,0.7190495082974089,0.7598056248490551,0.34412619344126194,0.599787501813336,0.25872539060915056,0.055603561058317603,0.883107449364463,0.03827540058595869,5291,0.049350743299453825,0.027120483235070714,0.011986834014540456
37,local_mid25_center_minus_2p2_nm,local_center,-2.2,0.847759250551597,0.7240410380297767,0.7545525004378529,0.1934412619344126,0.574722445212223,0.22932684402837464,0.05619280457046055,0.9039520551220575,0.0351358194379137,4857,0.05144862010344703,0.028748146272651643,0.0115383224219626
73,local_mid25_center_minus_2p2_nm,local_center,-2.2,0.848677975910587,0.7403565940329082,0.7623852351410332,0.22581984225819843,0.5616180985129806,0.22688968621895786,0.04926376788746484,0.8979278023145417,0.03172134408796615,4385,0.042652005642565195,0.02302600643831157,0.009975765905884906
101,local_mid25_center_minus_2p2_nm,local_center,-2.2,0.8363511411726408,0.729882527853315,0.7621042097164366,0.2694063926940639,0.7260397557904468,0.2595202904462721,0.08725261281852796,0.9236037539911688,0.06334864542264984,8757,0.05076138459869064,0.029203891923174304,0.010887257206930227
131,local_mid25_center_minus_2p2_nm,local_center,-2.2,0.8235396245523927,0.7117765440798105,0.7454449845396653,0.28684101286841013,0.634019133765537,0.26618531329565714,0.0638516819014206,0.8873913064538133,0.04153072666112056,5741,0.049307338951785004,0.029724744095200203,0.008420443447752016
13,local_mid25_center_plus_2p2_nm,local_center,2.2,0.8249864361413535,0.7133561009259861,0.7474886660074025,0.46474555487431024,0.6555870939274412,0.26595369327776786,0.05921444482741599,0.8842008809687695,0.0424783882518899,5872,0.05781459109487467,0.03282092089557637,0.015169819510254277
37,local_mid25_center_plus_2p2_nm,local_center,2.2,0.847093717220675,0.7355303815848009,0.7556145307146623,0.5201328352013284,0.6001853849502268,0.23378097849017607,0.06148032132021042,0.9085740385408854,0.04124136434332839,5701,0.05573118240677108,0.03130176872716751,0.01342641154555648
73,local_mid25_center_plus_2p2_nm,local_center,2.2,0.845574565052266,0.7413947855099787,0.7602710861892541,0.5246990452469904,0.5981862183770957,0.23377828789901162,0.052770018044201755,0.8983445830964678,0.035352841176257824,4887,0.053213730241979236,0.02961623322602814,0.0134625818352805
101,local_mid25_center_plus_2p2_nm,local_center,2.2,0.8322566643758816,0.7297525160815812,0.7548934990813181,0.5274882485182915,0.790426821181428,0.2681123211395109,0.09158317590680831,0.9238136436405262,0.06637248164357797,9175,0.06001374471009513,0.03572177813144283,0.013310666618439614
131,local_mid25_center_plus_2p2_nm,local_center,2.2,0.8408579592722538,0.7399144772692843,0.7665377506921893,0.530349478847333,0.5840739910548383,0.23996957239327338,0.048645605520559264,0.889503564792813,0.03424603031070279,4734,0.04739754765435671,0.02033493688284443,0.016348970955257353
