seed,condition,family,level_nm,oa,macro_f1,balanced_accuracy,worst_class_recall,nll,brier,ece_15bin,mean_confidence,high_confidence_error_rate_all,high_confidence_error_count,label_flip_rate,nominal_correct_to_shifted_wrong_rate_all,shifted_wrong_to_correct_rate_all
13,nominal,nominal,0.0,0.9590610449601561,0.9053614527269005,0.9437341279338786,0.8556723609286028,0.12966786385976636,0.061101072661187104,0.01270679577518415,0.971379667924747,0.009744741152437566,1059,0.0,0.0,0.0
37,nominal,nominal,0.0,0.9638091907908055,0.9119934703918262,0.9510937384181413,0.8657468243539203,0.13456223041930457,0.056478080772127716,0.0184851445116843,0.9822730343578866,0.013664722012624916,1485,0.0,0.0,0.0
73,nominal,nominal,0.0,0.9676555569869518,0.9200575552926369,0.9530957610486213,0.878449408672799,0.11974977681020395,0.050072914182162344,0.014820618102768827,0.9824761750897207,0.011161823435228297,1213,0.0,0.0,0.0
101,nominal,nominal,0.0,0.9620976498518505,0.9066428340224706,0.9456634739501923,0.8661848445028472,0.1399339857149809,0.05845905872001013,0.01841438012040447,0.9804398387696295,0.013167823030347645,1431,0.0,0.0,0.0
131,nominal,nominal,0.0,0.9688886026096398,0.9233000369298756,0.9534876439465891,0.8703460359176522,0.13125872569597175,0.04964450322286451,0.01804670922232341,0.9869353118319633,0.013747538509671127,1494,0.0,0.0,0.0
13,global_center_minus_1p1_nm,global_center,-1.1,0.96103943905626,0.9111835950948001,0.9347918657232483,0.8226018396846255,0.1290008938740682,0.058466006425052036,0.009912317109368584,0.9708986347795052,0.009082209176067873,987,0.01606640042696505,0.005843163958260486,0.007821558054364429
37,global_center_minus_1p1_nm,global_center,-1.1,0.9661464563741097,0.9179583357123104,0.944756772618841,0.8274200613228209,0.12895633720218,0.052337342765570685,0.015460605404921795,0.9816070617790316,0.01134586009533099,1233,0.015799547269816146,0.005622319966137254,0.007959585549441449
73,global_center_minus_1p1_nm,global_center,-1.1,0.9681708596352393,0.9242341150894872,0.9376614236013412,0.8425317564607971,0.12265039341887932,0.04893213505992149,0.012974773191858607,0.9811456328270979,0.010195630969689161,1108,0.0185508953383514,0.007646723227266871,0.00816202587555441
101,global_center_minus_1p1_nm,global_center,-1.1,0.9655851445607965,0.9156176315898588,0.9382729787476928,0.8144984669294788,0.13765953979825254,0.05314951188104931,0.015360305067781441,0.980914390108573,0.01108820877118722,1205,0.018228831183171687,0.005925980455306697,0.009413475164252718
131,global_center_minus_1p1_nm,global_center,-1.1,0.9680604376391777,0.922455994749757,0.9411366318683295,0.7978537012702585,0.13902271139649733,0.050731180279285464,0.01805054987684846,0.9861109875160262,0.013315052358429799,1447,0.01683935439939636,0.007462686567164179,0.006634521596702063
