scene,model,model_key,direction,block_size,test_block_count,mean_drop_pp,ci95_lower_pp,ci95_upper_pp,ci_excludes_zero,bootstrap_replicates,source
LongKou,Linear,linear,minus,16,603,1.777241230010984,0.32997970034679025,3.1776293582386463,True,2000,post_hoc_block_size_sensitivity
LongKou,Linear,linear,plus,16,603,2.7901938226487877,1.9218848612573376,3.487418303887049,True,2000,post_hoc_block_size_sensitivity
LongKou,MLP,mlp,minus,16,603,9.421632952160307,6.537271662718721,11.68216934634579,True,2000,post_hoc_block_size_sensitivity
LongKou,MLP,mlp,plus,16,603,15.883213182290396,14.03958844724629,17.457324536310303,True,2000,post_hoc_block_size_sensitivity
LongKou,CNN-1D,cnn1d,minus,16,603,9.784953130616081,7.533540643751619,11.471912076903717,True,2000,post_hoc_block_size_sensitivity
LongKou,CNN-1D,cnn1d,plus,16,603,15.580789777967663,13.786821306579643,17.18427852872345,True,2000,post_hoc_block_size_sensitivity
LongKou,SSCNN-3x3,sscnn3x3,minus,16,603,3.3471454514397507,0.9776343239678249,4.972804034749667,True,2000,post_hoc_block_size_sensitivity
LongKou,SSCNN-3x3,sscnn3x3,plus,16,603,4.753584530618456,3.851756986644533,5.490192486180203,True,2000,post_hoc_block_size_sensitivity
LongKou,SSResNet-3x3,ssresnet3x3,minus,16,603,13.814465426322482,11.04685333992044,15.953532092945856,True,2000,post_hoc_block_size_sensitivity
LongKou,SSResNet-3x3,ssresnet3x3,plus,16,603,9.57776672310299,8.263801366090778,10.862913613518078,True,2000,post_hoc_block_size_sensitivity
LongKou,SpectralFormer-3x3,spectralformer3x3,minus,16,603,0.931647883521185,-1.5231388525830343,2.469237370623479,False,2000,post_hoc_block_size_sensitivity
LongKou,SpectralFormer-3x3,spectralformer3x3,plus,16,603,6.892184151543506,5.962992919815911,7.6208106436663225,True,2000,post_hoc_block_size_sensitivity
LongKou,Linear,linear,minus,32,158,1.7772412878985542,-0.27061381822572306,3.7998441223536714,False,2000,frozen_primary_analysis
LongKou,Linear,linear,plus,32,158,2.7901936915075143,1.445787494729419,3.750010976774583,True,2000,frozen_primary_analysis
LongKou,MLP,mlp,minus,32,158,9.421632951718781,5.278694230096486,13.057410199714583,True,2000,frozen_primary_analysis
LongKou,MLP,mlp,plus,32,158,15.883213689045585,12.67419912393398,18.412882163640692,True,2000,frozen_primary_analysis
LongKou,CNN-1D,cnn1d,minus,32,158,9.784953433460593,6.018347351089819,12.092551574766116,True,2000,frozen_primary_analysis
LongKou,CNN-1D,cnn1d,plus,32,158,15.580789633486024,12.471942249795985,18.012206302017564,True,2000,frozen_primary_analysis
LongKou,SSCNN-3x3,sscnn3x3,minus,32,158,3.347145670459257,-0.6133851956470953,5.750051693554253,False,2000,frozen_primary_analysis
LongKou,SSCNN-3x3,sscnn3x3,plus,32,158,4.7535846517084135,3.164997199107481,5.977010072671996,True,2000,frozen_primary_analysis
LongKou,SSResNet-3x3,ssresnet3x3,minus,32,158,13.81446537358095,9.136564357197486,17.976776588968427,True,2000,frozen_primary_analysis
LongKou,SSResNet-3x3,ssresnet3x3,plus,32,158,9.577766444966423,7.272332111731178,11.571782616669447,True,2000,frozen_primary_analysis
LongKou,SpectralFormer-3x3,spectralformer3x3,minus,32,158,0.9316481808021582,-2.415797479799294,3.0175156724217067,False,2000,frozen_primary_analysis
LongKou,SpectralFormer-3x3,spectralformer3x3,plus,32,158,6.892184422322847,4.99756662808623,8.126616090162548,True,2000,frozen_primary_analysis
LongKou,Linear,linear,minus,64,62,1.777241230010984,-0.6125757830838331,4.594118432866199,False,2000,post_hoc_block_size_sensitivity
LongKou,Linear,linear,plus,64,62,2.7901938226487877,0.5463508533106918,3.7499047099716125,True,2000,post_hoc_block_size_sensitivity
LongKou,MLP,mlp,minus,64,62,9.421632952160307,3.5239000850253595,14.470403489967177,True,2000,post_hoc_block_size_sensitivity
LongKou,MLP,mlp,plus,64,62,15.883213182290396,9.55013239487178,18.1941171205706,True,2000,post_hoc_block_size_sensitivity
LongKou,CNN-1D,cnn1d,minus,64,62,9.784953130616081,3.360780565275089,12.736587632033562,True,2000,post_hoc_block_size_sensitivity
