geometry,band_count,scene,class_count,model,model_key,total_parameters,trainable_parameters
dense_narrow,90,LongKou,9,Linear,linear,819,819
dense_narrow,90,LongKou,9,MLP,mlp,20489,20489
dense_narrow,90,LongKou,9,CNN-1D,cnn1d,27593,27593
dense_narrow,90,LongKou,9,SSCNN-3x3,sscnn3x3,62089,62089
dense_narrow,90,LongKou,9,SSResNet-3x3,ssresnet3x3,80457,80457
dense_narrow,90,LongKou,9,SpectralFormer-3x3,spectralformer3x3,147352,147352
dense_narrow,90,HanChuan,16,Linear,linear,1456,1456
dense_narrow,90,HanChuan,16,MLP,mlp,20944,20944
dense_narrow,90,HanChuan,16,CNN-1D,cnn1d,47760,47760
dense_narrow,90,HanChuan,16,SSCNN-3x3,sscnn3x3,62768,62768
dense_narrow,90,HanChuan,16,SSResNet-3x3,ssresnet3x3,80912,80912
dense_narrow,90,HanChuan,16,SpectralFormer-3x3,spectralformer3x3,147807,147807
dense_narrow,90,HongHu,22,Linear,linear,2002,2002
dense_narrow,90,HongHu,22,MLP,mlp,21334,21334
dense_narrow,90,HongHu,22,CNN-1D,cnn1d,65046,65046
dense_narrow,90,HongHu,22,SSCNN-3x3,sscnn3x3,63350,63350
dense_narrow,90,HongHu,22,SSResNet-3x3,ssresnet3x3,81302,81302
dense_narrow,90,HongHu,22,SpectralFormer-3x3,spectralformer3x3,148197,148197
reference,68,LongKou,9,Linear,linear,621,621
reference,68,LongKou,9,MLP,mlp,17673,17673
reference,68,LongKou,9,CNN-1D,cnn1d,21257,21257
reference,68,LongKou,9,SSCNN-3x3,sscnn3x3,60681,60681
reference,68,LongKou,9,SSResNet-3x3,ssresnet3x3,79049,79049
reference,68,LongKou,9,SpectralFormer-3x3,spectralformer3x3,124758,124758
reference,68,HanChuan,16,Linear,linear,1104,1104
reference,68,HanChuan,16,MLP,mlp,18128,18128
reference,68,HanChuan,16,CNN-1D,cnn1d,36496,36496
reference,68,HanChuan,16,SSCNN-3x3,sscnn3x3,61360,61360
reference,68,HanChuan,16,SSResNet-3x3,ssresnet3x3,79504,79504
reference,68,HanChuan,16,SpectralFormer-3x3,spectralformer3x3,125213,125213
reference,68,HongHu,22,Linear,linear,1518,1518
reference,68,HongHu,22,MLP,mlp,18518,18518
reference,68,HongHu,22,CNN-1D,cnn1d,49558,49558
reference,68,HongHu,22,SSCNN-3x3,sscnn3x3,61942,61942
reference,68,HongHu,22,SSResNet-3x3,ssresnet3x3,79894,79894
reference,68,HongHu,22,SpectralFormer-3x3,spectralformer3x3,125603,125603
coarse_broad,46,LongKou,9,Linear,linear,423,423
coarse_broad,46,LongKou,9,MLP,mlp,14857,14857
coarse_broad,46,LongKou,9,CNN-1D,cnn1d,14921,14921
coarse_broad,46,LongKou,9,SSCNN-3x3,sscnn3x3,59273,59273
coarse_broad,46,LongKou,9,SSResNet-3x3,ssresnet3x3,77641,77641
coarse_broad,46,LongKou,9,SpectralFormer-3x3,spectralformer3x3,107972,107972
coarse_broad,46,HanChuan,16,Linear,linear,752,752
coarse_broad,46,HanChuan,16,MLP,mlp,15312,15312
coarse_broad,46,HanChuan,16,CNN-1D,cnn1d,25232,25232
coarse_broad,46,HanChuan,16,SSCNN-3x3,sscnn3x3,59952,59952
coarse_broad,46,HanChuan,16,SSResNet-3x3,ssresnet3x3,78096,78096
coarse_broad,46,HanChuan,16,SpectralFormer-3x3,spectralformer3x3,108427,108427
coarse_broad,46,HongHu,22,Linear,linear,1034,1034
coarse_broad,46,HongHu,22,MLP,mlp,15702,15702
coarse_broad,46,HongHu,22,CNN-1D,cnn1d,34070,34070
coarse_broad,46,HongHu,22,SSCNN-3x3,sscnn3x3,60534,60534
coarse_broad,46,HongHu,22,SSResNet-3x3,ssresnet3x3,78486,78486
coarse_broad,46,HongHu,22,SpectralFormer-3x3,spectralformer3x3,108817,108817
