scene,model_a,model_b,higher_nominal_model,lower_mean_loss_model,lower_worst_loss_model,mean_loss_rank_discordant,worst_loss_rank_discordant,absolute_nominal_gap_pp,absolute_mean_loss_gap_pp,absolute_worst_loss_gap_pp,analysis_role
LongKou,Linear,MLP,MLP,Linear,Linear,True,True,11.249519780141238,10.368705830679149,13.09301999753807,post_hoc_descriptive
LongKou,Linear,CNN-1D,CNN-1D,Linear,Linear,True,True,10.33759462419247,10.399154043770274,12.79059594197851,post_hoc_descriptive
LongKou,Linear,SSCNN-3x3,SSCNN-3x3,Linear,Linear,True,True,15.28531573930959,1.766647671380801,1.9633909602008992,post_hoc_descriptive
LongKou,Linear,SSResNet-3x3,SSResNet-3x3,Linear,Linear,True,True,16.915544127027516,9.412398419570652,11.024271682073435,post_hoc_descriptive
LongKou,Linear,SpectralFormer-3x3,SpectralFormer-3x3,Linear,Linear,True,True,13.728125967924532,1.6281988118594684,4.1019907308153325,post_hoc_descriptive
LongKou,MLP,CNN-1D,MLP,MLP,CNN-1D,False,True,0.9119251559487673,0.030448213091124998,0.30242405555956076,post_hoc_descriptive
LongKou,MLP,SSCNN-3x3,SSCNN-3x3,SSCNN-3x3,SSCNN-3x3,False,False,4.035795959168354,8.602058159298348,11.129629037337171,post_hoc_descriptive
LongKou,MLP,SSResNet-3x3,SSResNet-3x3,SSResNet-3x3,SSResNet-3x3,False,False,5.666024346886278,0.9563074111084973,2.068748315464635,post_hoc_descriptive
LongKou,MLP,SpectralFormer-3x3,SpectralFormer-3x3,SpectralFormer-3x3,SpectralFormer-3x3,False,False,2.4786061877832943,8.740507018819681,8.991029266722737,post_hoc_descriptive
LongKou,CNN-1D,SSCNN-3x3,SSCNN-3x3,SSCNN-3x3,SSCNN-3x3,False,False,4.947721115117121,8.632506372389473,10.82720498177761,post_hoc_descriptive
LongKou,CNN-1D,SSResNet-3x3,SSResNet-3x3,SSResNet-3x3,SSResNet-3x3,False,False,6.577949502835045,0.9867556241996223,1.7663242599050744,post_hoc_descriptive
LongKou,CNN-1D,SpectralFormer-3x3,SpectralFormer-3x3,SpectralFormer-3x3,SpectralFormer-3x3,False,False,3.3905313437320617,8.770955231910806,8.688605211163177,post_hoc_descriptive
LongKou,SSCNN-3x3,SSResNet-3x3,SSResNet-3x3,SSCNN-3x3,SSCNN-3x3,True,True,1.6302283877179247,7.645750748189851,9.060880721872536,post_hoc_descriptive
LongKou,SSCNN-3x3,SpectralFormer-3x3,SSCNN-3x3,SpectralFormer-3x3,SSCNN-3x3,True,False,1.557189771385059,0.13844885952133268,2.1385997706144337,post_hoc_descriptive
