scene,model,model_key,nominal_macro_f1,mean_directional_drop_pp,worst_direction_drop_pp,mean_relative_loss,worst_direction_relative_loss,analysis_role,mean_relative_loss_rank,worst_relative_loss_rank
LongKou,Linear,linear,0.760617912479646,2.2837174897030343,2.7901936915075143,0.0300245031340114,0.03668324983842895,post_hoc_bounded_scale_sensitivity,1,1
LongKou,MLP,mlp,0.8731131102810584,12.652423320382184,15.883213689045585,0.14491161765179908,0.18191473134486225,post_hoc_bounded_scale_sensitivity,5,6
LongKou,CNN-1D,cnn1d,0.8639938587215708,12.682871533473309,15.580789633486024,0.14679353800314998,0.1803344951611174,post_hoc_bounded_scale_sensitivity,6,5
LongKou,SSCNN-3x3,sscnn3x3,0.913471069872742,4.050365161083835,4.7535846517084135,0.04434037699352758,0.05203869951098339,post_hoc_bounded_scale_sensitivity,3,2
LongKou,SSResNet-3x3,ssresnet3x3,0.9297733537499212,11.696115909273686,13.81446537358095,0.12579534423202626,0.1485788479296062,post_hoc_bounded_scale_sensitivity,4,4
LongKou,SpectralFormer-3x3,spectralformer3x3,0.8978991721588914,3.9119163015625027,6.892184422322847,0.04356743410461964,0.07675900185709508,post_hoc_bounded_scale_sensitivity,2,3
HanChuan,Linear,linear,0.5311868151957617,3.9485552471105434,5.212856307889797,0.07433458689397923,0.09813602594726809,post_hoc_bounded_scale_sensitivity,2,4
HanChuan,MLP,mlp,0.6919441785316266,5.257636851496784,5.4422697657881285,0.07598354050255911,0.07865186144548768,post_hoc_bounded_scale_sensitivity,3,2
HanChuan,CNN-1D,cnn1d,0.6710481275096105,7.500512896933493,9.214009429815004,0.11177309926740052,0.13730772879152464,post_hoc_bounded_scale_sensitivity,5,6
HanChuan,SSCNN-3x3,sscnn3x3,0.7583294189219986,6.652133502975616,7.420371968671864,0.08772089460055421,0.09785156402372305,post_hoc_bounded_scale_sensitivity,4,3
HanChuan,SSResNet-3x3,ssresnet3x3,0.7377953148299785,9.737199055899552,9.92645509088094,0.1319769705794817,0.1345421269470713,post_hoc_bounded_scale_sensitivity,6,5
HanChuan,SpectralFormer-3x3,spectralformer3x3,0.7286509493934243,3.656388825340239,3.8348952104567524,0.050180251990120245,0.052630072240339,post_hoc_bounded_scale_sensitivity,1,1
HongHu,Linear,linear,0.550952708186803,8.786161979218567,10.179469450656365,0.15947216246806395,0.18476121996309292,post_hoc_bounded_scale_sensitivity,3,3
HongHu,MLP,mlp,0.6164055385622694,8.508785952913705,11.384816412151759,0.1380387654004531,0.18469685458547613,post_hoc_bounded_scale_sensitivity,2,2
HongHu,CNN-1D,cnn1d,0.5998184759485408,7.078144316452679,7.66078229301298,0.11800477311505694,0.12771834480254005,post_hoc_bounded_scale_sensitivity,1,1
HongHu,SSCNN-3x3,sscnn3x3,0.7066405365694027,18.082093650648602,20.552619033820868,0.2558881455971026,0.29084970321119263,post_hoc_bounded_scale_sensitivity,5,5
HongHu,SSResNet-3x3,ssresnet3x3,0.7269548031753525,21.54899440892651,25.2026385355312,0.296428255440367,0.3466878329360449,post_hoc_bounded_scale_sensitivity,6,6
HongHu,SpectralFormer-3x3,spectralformer3x3,0.6943049018252696,15.571369945851785,16.148918746263032,0.2242727929028868,0.2325911671343364,post_hoc_bounded_scale_sensitivity,4,4
