scene,model_a,model_b,higher_nominal_model,lower_mean_relative_loss_model,lower_worst_relative_loss_model,mean_relative_loss_rank_discordant,worst_relative_loss_rank_discordant,absolute_nominal_gap_pp,absolute_mean_relative_loss_gap,absolute_worst_relative_loss_gap,analysis_role
LongKou,Linear,MLP,MLP,Linear,Linear,True,True,11.249519780141238,0.11488711451778769,0.14523148150643328,post_hoc_bounded_scale_sensitivity
LongKou,Linear,CNN-1D,CNN-1D,Linear,Linear,True,True,10.33759462419247,0.11676903486913859,0.14365124532268847,post_hoc_bounded_scale_sensitivity
LongKou,Linear,SSCNN-3x3,SSCNN-3x3,Linear,Linear,True,True,15.28531573930959,0.01431587385951618,0.015355449672554436,post_hoc_bounded_scale_sensitivity
LongKou,Linear,SSResNet-3x3,SSResNet-3x3,Linear,Linear,True,True,16.915544127027516,0.09577084109801487,0.11189559809117726,post_hoc_bounded_scale_sensitivity
LongKou,Linear,SpectralFormer-3x3,SpectralFormer-3x3,Linear,Linear,True,True,13.728125967924532,0.013542930970608241,0.04007575201866613,post_hoc_bounded_scale_sensitivity
LongKou,MLP,CNN-1D,MLP,MLP,CNN-1D,False,True,0.9119251559487673,0.001881920351350902,0.0015802361837448375,post_hoc_bounded_scale_sensitivity
LongKou,MLP,SSCNN-3x3,SSCNN-3x3,SSCNN-3x3,SSCNN-3x3,False,False,4.035795959168354,0.1005712406582715,0.12987603183387886,post_hoc_bounded_scale_sensitivity
LongKou,MLP,SSResNet-3x3,SSResNet-3x3,SSResNet-3x3,SSResNet-3x3,False,False,5.666024346886278,0.019116273419772817,0.033335883415256035,post_hoc_bounded_scale_sensitivity
LongKou,MLP,SpectralFormer-3x3,SpectralFormer-3x3,SpectralFormer-3x3,SpectralFormer-3x3,False,False,2.4786061877832943,0.10134418354717944,0.10515572948776716,post_hoc_bounded_scale_sensitivity
LongKou,CNN-1D,SSCNN-3x3,SSCNN-3x3,SSCNN-3x3,SSCNN-3x3,False,False,4.947721115117121,0.1024531610096224,0.12829579565013402,post_hoc_bounded_scale_sensitivity
LongKou,CNN-1D,SSResNet-3x3,SSResNet-3x3,SSResNet-3x3,SSResNet-3x3,False,False,6.577949502835045,0.02099819377112372,0.0317556472315112,post_hoc_bounded_scale_sensitivity
LongKou,CNN-1D,SpectralFormer-3x3,SpectralFormer-3x3,SpectralFormer-3x3,SpectralFormer-3x3,False,False,3.3905313437320617,0.10322610389853035,0.10357549330402233,post_hoc_bounded_scale_sensitivity
LongKou,SSCNN-3x3,SSResNet-3x3,SSResNet-3x3,SSCNN-3x3,SSCNN-3x3,True,True,1.6302283877179247,0.08145496723849868,0.09654014841862282,post_hoc_bounded_scale_sensitivity
LongKou,SSCNN-3x3,SpectralFormer-3x3,SSCNN-3x3,SpectralFormer-3x3,SSCNN-3x3,True,False,1.557189771385059,0.000772942888907939,0.024720302346111694,post_hoc_bounded_scale_sensitivity
